河北联通[A],#genre#
睛彩河北,http://fn.122020.xyz:4000/udp/239.253.92.104:6221
石家庄新闻综合,http://fn.122020.xyz:4000/udp/239.253.92.149:6035
石家庄文化娱乐,http://fn.122020.xyz:4000/udp/239.253.92.93:8120
石家庄城市服务,http://fn.122020.xyz:4000/udp/239.253.92.94:8121
沧州新闻综合,http://fn.122020.xyz:4000/udp/239.253.92.121:6015
沧州公共,http://fn.122020.xyz:4000/udp/239.253.92.122:6016
沧州影视娱乐,http://fn.122020.xyz:4000/udp/239.253.92.123:6017
秦皇岛-1,http://fn.122020.xyz:4000/udp/239.253.92.52:6021
秦皇岛-2,http://fn.122020.xyz:4000/udp/239.253.92.53:6022
唐山新闻综合,http://fn.122020.xyz:4000/udp/239.253.92.245:6089
唐山生活服务,http://fn.122020.xyz:4000/udp/239.253.92.126:6026
唐山影视,http://fn.122020.xyz:4000/udp/239.253.92.127:6027
唐山公共,http://fn.122020.xyz:4000/udp/239.253.92.128:6028
廊坊新闻综合,http://fn.122020.xyz:4000/udp/239.253.92.164:6036
廊坊生活,http://fn.122020.xyz:4000/udp/239.253.92.166:6037
保定新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.2:6153
保定公共,http://fn.122020.xyz:4000/udp/239.253.93.4:6157
保定生活健康,http://fn.122020.xyz:4000/udp/239.253.93.5:6158
衡水新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.3:6154
衡水经济科教,http://fn.122020.xyz:4000/udp/239.253.93.7:6160
邢台综合,http://fn.122020.xyz:4000/udp/239.253.93.8:6161
邢台城市生活,http://fn.122020.xyz:4000/udp/239.253.93.10:6163
邯郸新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.11:6164
邯郸公共,http://fn.122020.xyz:4000/udp/239.253.93.12:6165
邯郸科技教育,http://fn.122020.xyz:4000/udp/239.253.93.13:6166
承德新闻综合,http://fn.122020.xyz:4000/udp/239.253.92.222:8112
承德旅游文化,http://fn.122020.xyz:4000/udp/239.253.92.223:8113
张家口-1,http://fn.122020.xyz:4000/udp/239.253.92.225:8115
张家口-2,http://fn.122020.xyz:4000/udp/239.253.92.226:8116
晋州综合,http://fn.122020.xyz:4000/udp/239.253.93.156:6324
新乐综合,http://fn.122020.xyz:4000/udp/239.253.94.40:6638
深泽综合,http://fn.122020.xyz:4000/udp/239.253.94.31:6630
元氏电视,http://fn.122020.xyz:4000/udp/239.253.92.142:6040
高邑融媒,http://fn.122020.xyz:4000/udp/239.253.92.160:6041
赵县电视,http://fn.122020.xyz:4000/udp/239.253.93.140:6308
井陉综合,http://fn.122020.xyz:4000/udp/239.253.93.205:6383
矿区电视,http://fn.122020.xyz:4000/udp/239.253.92.215:6067
沧县电视,http://fn.122020.xyz:4000/udp/239.253.94.34:6634
黄骅电视,http://fn.122020.xyz:4000/udp/239.253.92.183:6047
吴桥综合,http://fn.122020.xyz:4000/udp/239.253.93.169:6337
玉田综合,http://fn.122020.xyz:4000/udp/239.253.92.118:6133
遵化综合,http://fn.122020.xyz:4000/udp/239.253.93.177:6345
滦南综合,http://fn.122020.xyz:4000/udp/239.253.92.218:6100
唐钢电视,http://fn.122020.xyz:4000/udp/239.253.93.238:6445
三河综合,http://fn.122020.xyz:4000/udp/239.253.93.143:6311
大厂融媒,http://fn.122020.xyz:4000/udp/239.253.92.253:6244
永清电视,http://fn.122020.xyz:4000/udp/239.253.93.172:6340
阜平电视,http://fn.122020.xyz:4000/udp/239.253.93.16:6169
涞水综合,http://fn.122020.xyz:4000/udp/239.253.93.17:6170
徐水电视,http://fn.122020.xyz:4000/udp/239.253.93.182:6350
涞源综合,http://fn.122020.xyz:4000/udp/239.253.93.22:6175
高碑店综合,http://fn.122020.xyz:4000/udp/239.253.93.23:6176
涿州电视,http://fn.122020.xyz:4000/udp/239.253.93.27:6180
唐县综合,http://fn.122020.xyz:4000/udp/239.253.93.30:6183
曲阳电视,http://fn.122020.xyz:4000/udp/239.253.93.31:6184
定州新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.95:6260
雄县电视,http://fn.122020.xyz:4000/udp/239.253.93.103:6269
景县综合,http://fn.122020.xyz:4000/udp/239.253.93.38:6191
饶阳电视,http://fn.122020.xyz:4000/udp/239.253.93.40:6193
深州综合,http://fn.122020.xyz:4000/udp/239.253.93.42:6195
故城电视,http://fn.122020.xyz:4000/udp/239.253.93.161:6329
枣强综合,http://fn.122020.xyz:4000/udp/239.253.93.166:6334
清河电视,http://fn.122020.xyz:4000/udp/239.253.93.44:6197
安平综合,http://fn.122020.xyz:4000/udp/239.253.93.36:6189
临城新闻,http://fn.122020.xyz:4000/udp/239.253.93.167:6335
南宫电视,http://fn.122020.xyz:4000/udp/239.253.93.48:6201
柏乡综合,http://fn.122020.xyz:4000/udp/239.253.93.171:6339
鸡泽新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.64:6219
临西综合,http://fn.122020.xyz:4000/udp/239.253.94.29:6628
成安综合,http://fn.122020.xyz:4000/udp/239.253.93.178:6346
魏县新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.185:6353
武安新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.62:6215
临漳电视,http://fn.122020.xyz:4000/udp/239.253.93.84:6250
涉县新闻综合,http://fn.122020.xyz:4000/udp/239.253.93.106:6273
承德县电视,http://fn.122020.xyz:4000/udp/239.253.94.28:6627
平泉综合,http://fn.122020.xyz:4000/udp/239.253.92.156:6012
隆化综合,http://fn.122020.xyz:4000/udp/239.253.93.174:6342
围场综合,http://fn.122020.xyz:4000/udp/239.253.92.101:6080
丰宁综合,http://fn.122020.xyz:4000/udp/239.253.93.210:6388
崇礼融媒,http://fn.122020.xyz:4000/udp/239.253.93.147:6315
兴隆综合,http://fn.122020.xyz:4000/udp/239.253.93.104:6271
沽源综合,http://fn.122020.xyz:4000/udp/239.253.94.39:6637
尚义电视,http://fn.122020.xyz:4000/udp/239.253.93.163:6331
张北电视,http://fn.122020.xyz:4000/udp/239.253.92.102:6092
赞皇电视,http://fn.122020.xyz:4000/udp/239.253.92.12:6042
栾城电视,http://fn.122020.xyz:4000/udp/239.253.92.187:6051
孟村综合,http://fn.122020.xyz:4000/udp/239.253.92.243:6087
东光综合,http://fn.122020.xyz:4000/udp/239.253.93.96:6262
