新疆电信[A],#genre#
百姓健康频道,http://222.81.240.54:5555/udp/238.125.2.173:5140
拜城1,http://222.81.240.54:5555/udp/238.125.3.107:5140
拜城1,http://222.81.240.54:5555/udp/238.125.7.107:5140
拜城2（维语）,http://222.81.240.54:5555/udp/238.125.3.108:5140
拜城2（维语）,http://222.81.240.54:5555/udp/238.125.7.108:5140
北京冬奥纪实高清,http://222.81.240.54:5555/udp/238.125.5.70:5140
北京高清,http://222.81.240.54:5555/udp/238.125.1.3:5140
北京高清,http://222.81.240.54:5555/udp/238.125.5.3:5140
北京卡酷HD,http://222.81.240.54:5555/udp/238.125.2.216:5140
北京卫视,http://222.81.240.54:5555/udp/238.125.4.24:5140
北屯1,http://222.81.240.54:5555/udp/238.125.3.55:5140
兵团卫视,http://222.81.240.54:5555/udp/238.125.4.13:5140
博乐TV,http://222.81.240.54:5555/udp/238.125.2.186:5140
布尔津县01HD,http://222.81.240.54:5555/udp/238.125.2.164:5140
布尔津县02HD,http://222.81.240.54:5555/udp/238.125.2.163:5140
布尔津县02HD,http://222.81.240.54:5555/udp/238.125.7.225:5140
财富天下,http://222.81.240.54:5555/udp/238.125.2.205:5140
策勒1汉语,http://222.81.240.54:5555/udp/238.125.3.37:5140
策勒1汉语,http://222.81.240.54:5555/udp/238.125.7.37:5140
策勒2维语,http://222.81.240.54:5555/udp/238.125.3.36:5140
策勒2维语,http://222.81.240.54:5555/udp/238.125.7.36:5140
茶频道,http://222.81.240.54:5555/udp/238.125.5.101:5140
察布查尔2,http://222.81.240.54:5555/udp/238.125.3.52:5140
昌吉市HD,http://222.81.240.54:5555/udp/238.125.3.27:5140
昌吉市HD,http://222.81.240.54:5555/udp/238.125.7.27:5140
昌吉综合,http://222.81.240.54:5555/udp/238.125.4.145:5140
车迷频道,http://222.81.240.54:5555/udp/238.125.2.169:5140
车迷频道,http://222.81.240.54:5555/udp/238.125.4.80:5140
党员远程教育HD,http://222.81.240.54:5555/udp/238.125.4.144:5140
第十四师昆玉市,http://222.81.240.54:5555/udp/238.125.3.105:5140
第一财经,http://222.81.240.54:5555/udp/238.125.1.59:5140
第一财经,http://222.81.240.54:5555/udp/238.125.5.59:5140
东方财经,http://222.81.240.54:5555/udp/238.125.2.147:5140
东方财经,http://222.81.240.54:5555/udp/238.125.4.54:5140
东方高清,http://222.81.240.54:5555/udp/238.125.1.5:5140
东方高清,http://222.81.240.54:5555/udp/238.125.5.5:5140
东方购物3越剧HD,http://222.81.240.54:5555/udp/238.125.2.146:5140
东方购物3越剧HD,http://222.81.240.54:5555/udp/238.125.5.123:5140
东方卫视,http://222.81.240.54:5555/udp/238.125.4.14:5140
东南高清,http://222.81.240.54:5555/udp/238.125.1.49:5140
东南高清,http://222.81.240.54:5555/udp/238.125.5.49:5140
东南卫视,http://222.81.240.54:5555/udp/238.125.4.26:5140
冬奥纪实HD,http://222.81.240.54:5555/udp/238.125.3.121:5140
动漫秀场,http://222.81.240.54:5555/udp/238.125.1.33:5140
动漫秀场,http://222.81.240.54:5555/udp/238.125.4.50:5140
动漫秀场,http://222.81.240.54:5555/udp/238.125.5.33:5140
都市剧场,http://222.81.240.54:5555/udp/238.125.1.60:5140
都市剧场,http://222.81.240.54:5555/udp/238.125.4.48:5140
都市剧场,http://222.81.240.54:5555/udp/238.125.5.60:5140
额敏1,http://222.81.240.54:5555/udp/238.125.2.193:5140
二师1,http://222.81.240.54:5555/udp/238.125.3.111:5140
法治天地,http://222.81.240.54:5555/udp/238.125.2.201:5140
法治天地,http://222.81.240.54:5555/udp/238.125.4.53:5140
法治天地,http://222.81.240.54:5555/udp/238.125.5.116:5140
福海1HD,http://222.81.240.54:5555/udp/238.125.2.167:5140
福海1HD,http://222.81.240.54:5555/udp/238.125.7.222:5140
福海2HD,http://222.81.240.54:5555/udp/238.125.2.166:5140
福海2HD,http://222.81.240.54:5555/udp/238.125.7.223:5140
阜康1,http://222.81.240.54:5555/udp/238.125.3.51:5140
富蕴哈语,http://222.81.240.54:5555/udp/238.125.3.137:5140
富蕴哈语,http://222.81.240.54:5555/udp/238.125.7.137:5140
富蕴汉语,http://222.81.240.54:5555/udp/238.125.3.136:5140
富蕴汉语,http://222.81.240.54:5555/udp/238.125.7.136:5140
伽师1,http://222.81.240.54:5555/udp/238.125.3.141:5140
伽师2,http://222.81.240.54:5555/udp/238.125.3.142:5140
甘肃卫视,http://222.81.240.54:5555/udp/238.125.4.45:5140
高昌电视台,http://222.81.240.54:5555/udp/238.125.7.22:5140
高昌汉语,http://222.81.240.54:5555/udp/238.125.3.22:5140
高昌维语,http://222.81.240.54:5555/udp/238.125.3.21:5140
高昌维语,http://222.81.240.54:5555/udp/238.125.7.21:5140
巩留1HD,http://222.81.240.54:5555/udp/238.125.4.194:5140
巩留1HD,http://222.81.240.54:5555/udp/238.125.4.195:5140
广东高清,http://222.81.240.54:5555/udp/238.125.1.12:5140
广东高清,http://222.81.240.54:5555/udp/238.125.5.12:5140
广东卫视,http://222.81.240.54:5555/udp/238.125.4.25:5140
广西高清,http://222.81.240.54:5555/udp/238.125.2.218:5140
广西高清,http://222.81.240.54:5555/udp/238.125.5.105:5140
广西卫视,http://222.81.240.54:5555/udp/238.125.4.20:5140
贵州高清,http://222.81.240.54:5555/udp/238.125.1.65:5140
贵州高清,http://222.81.240.54:5555/udp/238.125.5.65:5140
贵州卫视,http://222.81.240.54:5555/udp/238.125.4.34:5140
哈巴河1HD,http://222.81.240.54:5555/udp/238.125.2.188:5140
哈巴河2HD,http://222.81.240.54:5555/udp/238.125.2.187:5140
哈哈炫动,http://222.81.240.54:5555/udp/238.125.2.217:5140
哈哈炫动,http://222.81.240.54:5555/udp/238.125.5.106:5140
哈密1,http://222.81.240.54:5555/udp/238.125.3.81:5140
哈密2（维语）,http://222.81.240.54:5555/udp/238.125.3.82:5140
哈密3,http://222.81.240.54:5555/udp/238.125.3.83:5140
哈密巴里坤1HD,http://222.81.240.54:5555/udp/238.125.2.180:5140
哈密巴里坤1HD,http://222.81.240.54:5555/udp/238.125.7.220:5140
哈密巴里坤2HD,http://222.81.240.54:5555/udp/238.125.2.179:5140
哈密巴里坤2HD,http://222.81.240.54:5555/udp/238.125.7.221:5140
海南高清,http://222.81.240.54:5555/udp/238.125.1.68:5140
海南高清,http://222.81.240.54:5555/udp/238.125.5.68:5140
海南卫视,http://222.81.240.54:5555/udp/238.125.4.19:5140
好享购物,http://222.81.240.54:5555/udp/238.125.3.158:5140
好享购物,http://222.81.240.54:5555/udp/238.125.5.75:5140
和丰1,http://222.81.240.54:5555/udp/238.125.2.192:5140
和静1,http://222.81.240.54:5555/udp/238.125.3.149:5140
和静1,http://222.81.240.54:5555/udp/238.125.7.119:5140
和美乡途轮播台,http://222.81.240.54:5555/udp/238.125.4.228:5140
和硕,http://222.81.240.54:5555/udp/238.125.3.188:5140
和田汉语,http://222.81.240.54:5555/udp/238.125.3.35:5140
和田汉语,http://222.81.240.54:5555/udp/238.125.7.35:5140
和田洛浦1HD,http://222.81.240.54:5555/udp/238.125.2.182:5140
和田洛浦1HD,http://222.81.240.54:5555/udp/238.125.7.218:5140
和田维语,http://222.81.240.54:5555/udp/238.125.3.34:5140
和田维语,http://222.81.240.54:5555/udp/238.125.7.34:5140
河北高清,http://222.81.240.54:5555/udp/238.125.1.64:5140
河北高清,http://222.81.240.54:5555/udp/238.125.5.64:5140
河北卫视,http://222.81.240.54:5555/udp/238.125.4.136:5140
河南高清,http://222.81.240.54:5555/udp/238.125.3.171:5140
河南高清,http://222.81.240.54:5555/udp/238.125.6.171:5140
河南卫视,http://222.81.240.54:5555/udp/238.125.4.29:5140
黑龙江高清,http://222.81.240.54:5555/udp/238.125.1.8:5140
黑龙江高清,http://222.81.240.54:5555/udp/238.125.5.8:5140
黑龙江卫视,http://222.81.240.54:5555/udp/238.125.4.41:5140
呼图壁1HD,http://222.81.240.54:5555/udp/238.125.3.91:5140
湖北高清,http://222.81.240.54:5555/udp/238.125.1.10:5140
湖北高清,http://222.81.240.54:5555/udp/238.125.5.10:5140
湖北卫视,http://222.81.240.54:5555/udp/238.125.4.32:5140
湖南茶HD,http://222.81.240.54:5555/udp/238.125.2.238:5140
湖南高清,http://222.81.240.54:5555/udp/238.125.1.4:5140
湖南高清,http://222.81.240.54:5555/udp/238.125.1.63:5140
湖南高清,http://222.81.240.54:5555/udp/238.125.5.4:5140
湖南快乐购,http://222.81.240.54:5555/udp/238.125.3.140:5140
湖南快乐购,http://222.81.240.54:5555/udp/238.125.7.140:5140
湖南卫视,http://222.81.240.54:5555/udp/238.125.4.15:5140
欢笑剧场,http://222.81.240.54:5555/udp/238.125.1.61:5140
