北京联通[A],#genre#
浙江卫视,http://cards.imwork.net:15893/udp/239.3.1.114:3004
山东卫视,http://cards.imwork.net:15893/udp/239.3.1.144:3005
四川卫视,http://cards.imwork.net:15893/udp/239.3.1.131:3001
北京卫视,http://cards.imwork.net:15893/udp/239.3.1.118:8001



北京联通[B],#genre#
CCTV1,http://114.246.180.137:4022/udp/239.3.1.129:8008
CCTV2,http://114.246.180.137:4022/udp/239.3.1.60:8084
CCTV3,http://114.246.180.137:4022/udp/239.3.1.172:8001
CCTV4,http://114.246.180.137:4022/udp/239.3.1.105:8092
CCTV5,http://114.246.180.137:4022/udp/239.3.1.173:8001
CCTV6,http://114.246.180.137:4022/udp/239.3.1.174:8001
CCTV7,http://114.246.180.137:4022/udp/239.3.1.61:8104
CCTV8,http://114.246.180.137:4022/udp/239.3.1.175:8001
CCTV9,http://114.246.180.137:4022/udp/239.3.1.62:8112
CCTV10,http://114.246.180.137:4022/udp/239.3.1.63:8116
CCTV11,http://114.246.180.137:4022/udp/239.3.1.152:8120
CCTV12,http://114.246.180.137:4022/udp/239.3.1.64:8124
CCTV13,http://114.246.180.137:4022/udp/239.3.1.124:8128
CCTV14,http://114.246.180.137:4022/udp/239.3.1.65:8132
CCTV15,http://114.246.180.137:4022/udp/239.3.1.153:8136
CCTV16,http://114.246.180.137:4022/udp/239.3.1.184:8001
CCTV17,http://114.246.180.137:4022/udp/239.3.1.151:8144
CCTV5+,http://114.246.180.137:4022/udp/239.3.1.130:8004
聚鲨环球精选,http://114.246.180.137:4022/udp/239.3.1.179:8001
央广购物,http://114.246.180.137:4022/udp/239.3.1.222:8001
北京卫视,http://114.246.180.137:4022/udp/239.3.1.241:8000
BRTV文艺高清,http://114.246.180.137:4022/udp/239.3.1.242:8000
纪实科教,http://114.246.180.137:4022/udp/239.3.1.115:8000
BRTV影视高清,http://114.246.180.137:4022/udp/239.3.1.158:8000
BRTV财经高清,http://114.246.180.137:4022/udp/239.3.1.116:8000
BRTV体育休闲,http://114.246.180.137:4022/udp/239.3.1.243:8000
BRTV生活高清,http://114.246.180.137:4022/udp/239.3.1.117:8000
BRTV卡酷少儿,http://114.246.180.137:4022/udp/239.3.1.189:8000
BRTV新闻高清,http://114.246.180.137:4022/udp/239.3.1.159:8000
家有购物精选,http://114.246.180.137:4022/udp/239.3.1.186:8001
优购物,http://114.246.180.137:4022/udp/239.3.1.180:8001
时尚购物,http://114.246.180.137:4022/udp/239.3.1.181:8001
萌宠TV,http://114.246.180.137:4022/udp/239.3.1.102:8001
淘BABY,http://114.246.180.137:4022/udp/239.3.1.238:8001
淘剧场,http://114.246.180.137:4022/udp/239.3.1.95:8001
淘电影,http://114.246.180.137:4022/udp/239.3.1.250:8001
淘娱乐,http://114.246.180.137:4022/udp/239.3.1.100:8001
北京IPTV4K超清,http://114.246.180.137:4022/udp/239.3.1.249:8001
湖南卫视,http://114.246.180.137:4022/udp/239.3.1.132:8012
家有购物,http://114.246.180.137:4022/udp/239.3.1.185:8001
央广购物精选,http://114.246.180.137:4022/udp/239.3.1.223:8001
江苏卫视,http://114.246.180.137:4022/udp/239.3.1.135:8028
东方卫视,http://114.246.180.137:4022/udp/239.3.1.136:8032
浙江卫视,http://114.246.180.137:4022/udp/239.3.1.137:8036
湖北卫视,http://114.246.180.137:4022/udp/239.3.1.138:8044
天津卫视,http://114.246.180.137:4022/udp/239.3.1.141:1234
聚鲨环球,http://114.246.180.137:4022/udp/239.3.1.160:8001
山东卫视,http://114.246.180.137:4022/udp/239.3.1.209:8052
辽宁卫视,http://114.246.180.137:4022/udp/239.3.1.210:8056
安徽卫视,http://114.246.180.137:4022/udp/239.3.1.211:8064
黑龙江卫视,http://114.246.180.137:4022/udp/239.3.1.133:8016
贵州卫视,http://114.246.180.137:4022/udp/239.3.1.149:8076
东南卫视,http://114.246.180.137:4022/udp/239.3.1.156:8148
重庆卫视,http://114.246.180.137:4022/udp/239.3.1.122:8160
江西卫视,http://114.246.180.137:4022/udp/239.3.1.123:8164
河南卫视,http://114.246.180.137:4022/udp/239.3.1.50:8184
优购物精选,http://114.246.180.137:4022/udp/239.3.1.190:8001
时尚购物精选,http://114.246.180.137:4022/udp/239.3.1.191:8001
甘肃卫视,http://114.246.180.137:4022/udp/239.3.1.201:8180
西藏卫视,http://114.246.180.137:4022/udp/239.3.1.166:8188
新疆卫视,http://114.246.180.137:4022/udp/239.3.1.167:8192
兵团卫视,http://114.246.180.137:4022/udp/239.3.1.168:8196
睛彩竞技,http://114.246.180.137:4022/udp/239.3.1.125:8001
睛彩篮球,http://114.246.180.137:4022/udp/239.3.1.126:8001
睛彩青少,http://114.246.180.137:4022/udp/239.3.1.127:8001
睛彩广场舞,http://114.246.180.137:4022/udp/239.3.1.128:8001
宁夏卫视,http://114.246.180.137:4022/udp/239.3.1.169:8212
广东卫视,http://114.246.180.137:4022/udp/239.3.1.142:8048
河北卫视,http://114.246.180.137:4022/udp/239.3.1.148:8072
深圳卫视,http://114.246.180.137:4022/udp/239.3.1.134:8020
CETV1,http://114.246.180.137:4022/udp/239.3.1.57:8152
金鹰纪实,http://114.246.180.137:4022/udp/239.3.1.58:8156
吉林卫视,http://114.246.180.137:4022/udp/239.3.1.240:8172
中国交通,http://114.246.180.137:4022/udp/239.3.1.188:8001
北京卫视,http://114.246.180.137:4022/udp/239.3.1.22:8001
CCTV4K,http://114.246.180.137:4022/udp/239.3.1.244:2000
CCTV4K,http://114.246.180.137:4022/udp/239.3.1.245:2000
北京卫视,http://114.246.180.137:4022/udp/239.3.1.225:8000
BRTV文艺,http://114.246.180.137:4022/udp/239.3.1.226:8000
纪实科教,http://114.246.180.137:4022/udp/239.3.1.227:8000
BRTV影视,http://114.246.180.137:4022/udp/239.3.1.228:8000
BRTV财经,http://114.246.180.137:4022/udp/239.3.1.229:8000
BRTV生活,http://114.246.180.137:4022/udp/239.3.1.231:8000
BRTV卡酷少儿,http://114.246.180.137:4022/udp/239.3.1.234:8000
BRTV新闻,http://114.246.180.137:4022/udp/239.3.1.233:8000
BTV国际频道,http://114.246.180.137:4022/udp/239.3.1.235:8000
山东教育,http://114.246.180.137:4022/udp/239.3.1.52:4120
四川卫视,http://114.246.180.137:4022/udp/239.3.1.29:8288
广西卫视,http://114.246.180.137:4022/udp/239.3.1.39:8300
陕西卫视,http://114.246.180.137:4022/udp/239.3.1.41:8140
山西卫视,http://114.246.180.137:4022/udp/239.3.1.42:8172
内蒙古卫视,http://114.246.180.137:4022/udp/239.3.1.43:8176
青海卫视,http://114.246.180.137:4022/udp/239.3.1.44:8184
海南卫视,http://114.246.180.137:4022/udp/239.3.1.45:8304
三沙卫视,http://114.246.180.137:4022/udp/239.3.1.155:4120
云南卫视,http://114.246.180.137:4022/udp/239.3.1.26:8108
财富天下,http://114.246.180.137:4022/udp/239.3.1.53:9136
厦门卫视,http://114.246.180.137:4022/udp/239.3.1.143:4120
金鹰卡通,http://114.246.180.137:4022/udp/239.3.1.51:9252
嘉佳卡通,http://114.246.180.137:4022/udp/239.3.1.147:9268
CETV2,http://114.246.180.137:4022/udp/239.3.1.54:4120
CETV4,http://114.246.180.137:4022/udp/239.3.1.56:4120
收视指南,http://114.246.180.137:4022/udp/239.3.1.193:8012
热播剧场,http://114.246.180.137:4022/udp/239.3.1.194:9020
经典电影,http://114.246.180.137:4022/udp/239.3.1.195:9024
IPTV魅力时尚,http://114.246.180.137:4022/udp/239.3.1.196:9012
IPTV少儿动画,http://114.246.180.137:4022/udp/239.3.1.199:9000
房山电视台,http://114.246.180.137:4022/udp/239.3.1.96:8001
北京朝阳,http://114.246.180.137:4022/udp/239.3.1.163:8001
密云电视台,http://114.246.180.137:4022/udp/239.3.1.154:8001
通州电视台,http://114.246.180.137:4022/udp/239.3.1.221:8001
延庆电视台,http://114.246.180.137:4022/udp/239.3.1.187:8001
门头沟电视台,http://114.246.180.137:4022/udp/239.3.1.59:8001
快乐垂钓,http://114.246.180.137:4022/udp/239.3.1.164:8001
茶,http://114.246.180.137:4022/udp/239.3.1.165:8001
CCTV4欧洲,http://114.246.180.137:4022/udp/239.3.1.213:4220
CCTV4美洲,http://114.246.180.137:4022/udp/239.3.1.214:4220
CGTN,http://114.246.180.137:4022/udp/239.3.1.215:4220
CGTN,http://114.246.180.137:4022/udp/239.3.1.216:4220
CGTN西班牙语,http://114.246.180.137:4022/udp/239.3.1.217:4220
CGTN法语,http://114.246.180.137:4022/udp/239.3.1.218:4220
CGTN阿拉伯语,http://114.246.180.137:4022/udp/239.3.1.219:4220
CGTN俄语,http://114.246.180.137:4022/udp/239.3.1.220:4220
城市剧场,http://114.246.180.137:4022/udp/239.3.1.67:4120
军旅剧场,http://114.246.180.137:4022/udp/239.3.1.68:4120
古装剧场,http://114.246.180.137:4022/udp/239.3.1.69:4120
音乐现场,http://114.246.180.137:4022/udp/239.3.1.70:4120
世界地理,http://114.246.180.137:4022/udp/239.3.1.71:4120
美妆,http://114.246.180.137:4022/udp/239.3.1.72:4120
美人,http://114.246.180.137:4022/udp/239.3.1.73:4120
NEWTV热播精选,http://114.246.180.137:4022/udp/239.3.1.74:4120
解密,http://114.246.180.137:4022/udp/239.3.1.75:4120
军事评论,http://114.246.180.137:4022/udp/239.3.1.76:4120
国学,http://114.246.180.137:4022/udp/239.3.1.77:4120
岭南戏曲,http://114.246.180.137:4022/udp/239.3.1.78:4120
早教,http://114.246.180.137:4022/udp/239.3.1.79:4120
IPTV少儿动画,http://114.246.180.137:4022/udp/239.3.1.80:4120
好学生,http://114.246.180.137:4022/udp/239.3.1.81:4120
鉴赏,http://114.246.180.137:4022/udp/239.3.1.82:4120
墨宝,http://114.246.180.137:4022/udp/239.3.1.83:4120
光影,http://114.246.180.137:4022/udp/239.3.1.84:4120
央视台球,http://114.246.180.137:4022/udp/239.3.1.85:4120
爱生活,http://114.246.180.137:4022/udp/239.3.1.86:4120
武术世界,http://114.246.180.137:4022/udp/239.3.1.87:4120
高网,http://114.246.180.137:4022/udp/239.3.1.88:4120
足球,http://114.246.180.137:4022/udp/239.3.1.89:4120
武侠剧场,http://114.246.180.137:4022/udp/239.3.1.90:4120
喜剧影院,http://114.246.180.137:4022/udp/239.3.1.91:4120
动作影院,http://114.246.180.137:4022/udp/239.3.1.92:4120
家庭影院,http://114.246.180.137:4022/udp/239.3.1.93:4120
星影,http://114.246.180.137:4022/udp/239.3.1.94:4120
爱上4K,http://114.246.180.137:4022/udp/239.3.1.236:2000
湖南卫视,http://114.246.180.137:4022/udp/239.3.1.112:3002
广东卫视,http://114.246.180.137:4022/udp/239.3.1.203:2000
江苏卫视,http://114.246.180.137:4022/udp/239.3.1.113:3003
深圳卫视,http://114.246.180.137:4022/udp/239.3.1.202:2000
东方卫视,http://114.246.180.137:4022/udp/239.3.1.119:3006
浙江卫视,http://114.246.180.137:4022/udp/239.3.1.114:3004
山东卫视,http://114.246.180.137:4022/udp/239.3.1.144:3005
四川卫视,http://114.246.180.137:4022/udp/239.3.1.131:3001
