广西电信[A],#genre#
电子竞技·高清,http://ik.zjx5106.xyz:8001/rtp/239.81.0.203:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.166:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.178:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.179:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.180:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.181:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.182:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.183:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.184:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.185:4056
BESTV,http://ik.zjx5106.xyz:8001/rtp/239.81.0.186:4056
爱上4K,http://ik.zjx5106.xyz:8001/rtp/239.81.0.123:4056
优购物·标清,http://ik.zjx5106.xyz:8001/rtp/239.81.0.132:4056
广西视听商城·高清,http://ik.zjx5106.xyz:8001/rtp/239.81.0.124:4056
广西IPTV宣传片,http://ik.zjx5106.xyz:8001/rtp/239.81.0.208:4056
藤县新闻,http://ik.zjx5106.xyz:8001/rtp/239.81.0.1:4056
灵山新闻,http://ik.zjx5106.xyz:8001/rtp/239.81.0.189:4056
容县新闻,http://ik.zjx5106.xyz:8001/rtp/239.81.0.194:4056
三江新闻,http://ik.zjx5106.xyz:8001/rtp/239.81.0.197:4056
扶绥新闻,http://ik.zjx5106.xyz:8001/rtp/239.81.0.217:4056

广西电信[B],#genre#
玉林新闻综合,http://192.168.6.7:4022/rtp/239.81.0.177:4056
广西卫视,http://192.168.6.7:4022/rtp/239.81.0.107:4056
广西综艺旅游,http://192.168.6.7:4022/rtp/239.81.0.214:4056
广西新闻,http://192.168.6.7:4022/rtp/239.81.0.248:4056
广西都市,http://192.168.6.7:4022/rtp/239.81.0.247:4056
广西影视,http://192.168.6.7:4022/rtp/239.81.0.250:4056
广西国际,http://192.168.6.7:4022/rtp/239.81.0.8:4056
广西乐思购,http://192.168.6.7:4022/rtp/239.81.0.9:4056
广西移动电视,http://192.168.6.7:4022/rtp/239.81.0.216:4056
南宁新闻综合,http://192.168.6.7:4022/rtp/239.81.0.241:4056
南宁文旅生活,http://192.168.6.7:4022/rtp/239.81.0.139:4056
南宁影视娱乐,http://192.168.6.7:4022/rtp/239.81.0.140:4056
南宁公共,http://192.168.6.7:4022/rtp/239.81.0.141:4056
北海新闻综合,http://192.168.6.7:4022/rtp/239.81.0.154:4056
贵港新闻综合,http://192.168.6.7:4022/rtp/239.81.0.172:4056
贺州综合,http://192.168.6.7:4022/rtp/239.81.0.163:4056
钦州综合,http://192.168.6.7:4022/rtp/239.81.0.164:4056
防城港新闻综合,http://192.168.6.7:4022/rtp/239.81.0.151:4056
来宾综合,http://192.168.6.7:4022/rtp/239.81.0.173:4056
梧州新闻综合,http://192.168.6.7:4022/rtp/239.81.0.176:4056
柳州新闻综合,http://192.168.6.7:4022/rtp/239.81.0.175:4056
桂林新闻综合,http://192.168.6.7:4022/rtp/239.81.0.174:4056
桂林科教旅游,http://192.168.6.7:4022/rtp/239.81.0.221:4056
桂林公共频道,http://192.168.6.7:4022/rtp/239.81.0.222:4056
河池新闻综合,http://192.168.6.7:4022/rtp/239.81.0.168:4056
百色综合,http://192.168.6.7:4022/rtp/239.81.0.150:4056
崇左综合,http://192.168.6.7:4022/rtp/239.81.0.218:4056
