四川电信[A],#genre#
CDTV8画中画全网组播,http://61.157.196.13:8888/udp/239.94.2.222:5140
金鹰纪实,http://61.157.196.13:8888/udp/239.94.2.223:5140
CETV1,http://61.157.196.13:8888/udp/239.94.2.224:5140
嘉佳卡通,http://61.157.196.13:8888/udp/239.94.2.226:5140
梨园,http://61.157.196.13:8888/udp/239.94.2.227:5140
CETV2,http://61.157.196.13:8888/udp/239.94.2.228:5140
CETV4,http://61.157.196.13:8888/udp/239.94.2.229:5140
卡酷动画,http://61.157.196.13:8888/udp/239.94.2.230:5140
金鹰卡通,http://61.157.196.13:8888/udp/239.94.2.231:5140
优漫卡通,http://61.157.196.13:8888/udp/239.94.2.232:5140
生活时尚,http://61.157.196.13:8888/udp/239.94.2.233:5140
财富天下,http://61.157.196.13:8888/udp/239.94.2.234:5140
游戏风云,http://61.157.196.13:8888/udp/239.94.2.235:5140
东方财经,http://61.157.196.13:8888/udp/239.94.2.236:5140
CGTN西班牙语,http://61.157.196.13:8888/udp/239.94.2.237:5140
CGTN法语,http://61.157.196.13:8888/udp/239.94.2.238:5140

四川电信[B],#genre#
CCTV1,http://182.143.18.74:8888/udp/239.94.0.31:5140
CCTV2,http://182.143.18.74:8888/udp/239.94.0.2:5140
CCTV3,http://182.143.18.74:8888/udp/239.94.0.32:5140
CCTV4,http://182.143.18.74:8888/udp/239.94.0.4:5140
CCTV5,http://182.143.18.74:8888/udp/239.94.0.33:5140
CCTV6,http://182.143.18.74:8888/udp/239.94.0.34:5140
CCTV7,http://182.143.18.74:8888/udp/239.94.0.7:5140
CCTV8,http://182.143.18.74:8888/udp/239.94.0.35:5140
CCTV9,http://182.143.18.74:8888/udp/239.94.0.9:5140
CCTV10,http://182.143.18.74:8888/udp/239.94.0.10:5140
CCTV11,http://182.143.18.74:8888/udp/239.94.0.36:5140
CCTV12,http://182.143.18.74:8888/udp/239.94.0.12:5140
CCTV13,http://182.143.18.74:8888/udp/239.94.0.37:5140
CCTV少儿高清,http://182.143.18.74:8888/udp/239.94.0.14:5140
CCTV15,http://182.143.18.74:8888/udp/239.94.0.38:5140
CCTV17,http://182.143.18.74:8888/udp/239.94.0.39:5140
四川卫视,http://182.143.18.74:8888/udp/239.94.0.59:5140
CDTV1,http://182.143.18.74:8888/udp/239.94.0.154:5140
CCTV4K,http://182.143.18.74:8888/udp/239.94.0.20:5140
爱上4K专区,http://182.143.18.74:8888/udp/239.94.0.21:5140
CGTN,http://182.143.18.74:8888/udp/239.94.0.40:5140
CCTV5,http://182.143.18.74:8888/udp/239.94.0.23:5140
精彩导视,http://182.143.18.74:8888/udp/239.94.1.63:5140
四川卫视,http://182.143.18.74:8888/udp/239.94.0.115:5140
湖南卫视,http://182.143.18.74:8888/udp/239.94.0.116:5140
江苏卫视,http://182.143.18.74:8888/udp/239.94.0.117:5140
浙江卫视,http://182.143.18.74:8888/udp/239.94.0.118:5140
东方卫视,http://182.143.18.74:8888/udp/239.94.0.119:5140
北京卫视,http://182.143.18.74:8888/udp/239.94.0.112:5140
深圳卫视,http://182.143.18.74:8888/udp/239.94.0.113:5140
广东卫视,http://182.143.18.74:8888/udp/239.94.0.114:5140
山东卫视,http://182.143.18.74:8888/udp/239.94.0.120:5140
湖南卫视,http://182.143.18.74:8888/udp/239.94.0.61:5140
江苏卫视,http://182.143.18.74:8888/udp/239.94.0.62:5140
浙江卫视,http://182.143.18.74:8888/udp/239.94.0.63:5140
东方卫视,http://182.143.18.74:8888/udp/239.94.0.64:5140
北京卫视,http://182.143.18.74:8888/udp/239.94.0.65:5140
深圳卫视,http://182.143.18.74:8888/udp/239.94.0.66:5140
广东卫视,http://182.143.18.74:8888/udp/239.94.0.67:5140
天津卫视,http://182.143.18.74:8888/udp/239.94.0.68:5140
山东卫视,http://182.143.18.74:8888/udp/239.94.0.69:5140
SCTV2,http://182.143.18.74:8888/udp/239.94.0.70:5140
SCTV3,http://182.143.18.74:8888/udp/239.94.0.71:5140
SCTV4,http://182.143.18.74:8888/udp/239.94.0.72:5140
SCTV5,http://182.143.18.74:8888/udp/239.94.0.73:5140
TV6,http://182.143.18.74:8888/udp/239.94.0.74:5140
SCTV7,http://182.143.18.74:8888/udp/239.94.0.75:5140
SCTV科教高清,http://182.143.18.74:8888/udp/239.94.0.76:5140
四川乡村,http://182.143.18.74:8888/udp/239.94.0.77:5140
康巴卫视,http://182.143.18.74:8888/udp/239.94.0.78:5140
江西卫视,http://182.143.18.74:8888/udp/239.94.0.79:5140
东南卫视,http://182.143.18.74:8888/udp/239.94.0.80:5140
黑龙江卫视,http://182.143.18.74:8888/udp/239.94.0.81:5140
贵州卫视,http://182.143.18.74:8888/udp/239.94.0.83:5140
湖北卫视,http://182.143.18.74:8888/udp/239.94.0.84:5140
安徽卫视,http://182.143.18.74:8888/udp/239.94.0.85:5140
河北卫视,http://182.143.18.74:8888/udp/239.94.0.86:5140
中国交通,http://182.143.18.74:8888/udp/239.94.0.87:5140
河南卫视,http://182.143.18.74:8888/udp/239.94.0.88:5140
广西卫视,http://182.143.18.74:8888/udp/239.94.0.89:5140
云南卫视,http://182.143.18.74:8888/udp/239.94.0.90:5140
吉林卫视,http://182.143.18.74:8888/udp/239.94.0.91:5140
陕西卫视,http://182.143.18.74:8888/udp/239.94.0.92:5140
山西卫视,http://182.143.18.74:8888/udp/239.94.0.93:5140
内蒙古卫视,http://182.143.18.74:8888/udp/239.94.0.94:5140
青海卫视,http://182.143.18.74:8888/udp/239.94.0.95:5140
宁夏卫视,http://182.143.18.74:8888/udp/239.94.0.96:5140
西藏卫视,http://182.143.18.74:8888/udp/239.94.0.97:5140
新疆卫视,http://182.143.18.74:8888/udp/239.94.0.98:5140
甘肃卫视,http://182.143.18.74:8888/udp/239.94.0.99:5140
海南卫视,http://182.143.18.74:8888/udp/239.94.0.100:5140
辽宁卫视,http://182.143.18.74:8888/udp/239.94.0.101:5140
兵团卫视,http://182.143.18.74:8888/udp/239.94.0.102:5140
峨眉电影,http://182.143.18.74:8888/udp/239.94.0.103:5140
厦门卫视,http://182.143.18.74:8888/udp/239.94.0.104:5140
三沙卫视,http://182.143.18.74:8888/udp/239.94.0.105:5140
山东教育卫视,http://182.143.18.74:8888/udp/239.94.0.106:5140
延边卫视,http://182.143.18.74:8888/udp/239.94.0.107:5140
北京纪实科教,http://182.143.18.74:8888/udp/239.94.0.109:5140
安多卫视,http://182.143.18.74:8888/udp/239.94.0.110:5140
重庆卫视,http://182.143.18.74:8888/udp/239.94.0.82:5140
CDTV2,http://182.143.18.74:8888/udp/239.94.0.155:5140
CDTV3,http://182.143.18.74:8888/udp/239.94.0.156:5140
CDTV4,http://182.143.18.74:8888/udp/239.94.0.157:5140
