河南联通[A],#genre#
CCTV15,http://222.141.134.39:8888/udp/225.1.4.216:1269
CCTV5+,http://222.141.134.39:8888/udp/225.1.4.75:1104
CCTV17,http://222.141.134.39:8888/udp/225.1.4.226:2506
新密综合频道,http://222.141.134.39:8888/udp/225.1.4.239:1285
登封综合,http://222.141.134.39:8888/udp/225.1.4.240:1286
新郑新闻综合,http://222.141.134.39:8888/udp/225.1.4.243:1289
巩义综合,http://222.141.134.39:8888/udp/225.1.5.50:1360
广西卫视,http://222.141.134.39:8888/udp/225.1.4.31:1060
山西卫视,http://222.141.134.39:8888/udp/225.1.4.38:1067
陕西卫视,http://222.141.134.39:8888/udp/225.1.4.39:1068
甘肃卫视,http://222.141.134.39:8888/udp/225.1.4.42:1071
宁夏卫视,http://222.141.134.39:8888/udp/225.1.4.43:1072
青海卫视,http://222.141.134.39:8888/udp/225.1.4.44:1073
内蒙古卫视,http://222.141.134.39:8888/udp/225.1.4.45:1074
西藏卫视,http://222.141.134.39:8888/udp/225.1.4.46:1075
新疆卫视,http://222.141.134.39:8888/udp/225.1.4.47:1076
北京卫视,http://222.141.134.39:8888/udp/225.1.4.81:1110
湖南卫视,http://222.141.134.39:8888/udp/225.1.4.82:1111
江苏卫视,http://222.141.134.39:8888/udp/225.1.4.83:1112
浙江卫视,http://222.141.134.39:8888/udp/225.1.4.84:1113
东方卫视,http://222.141.134.39:8888/udp/225.1.4.85:1114
天津卫视,http://222.141.134.39:8888/udp/225.1.4.86:1115
山东卫视,http://222.141.134.39:8888/udp/225.1.4.88:1117
安徽卫视,http://222.141.134.39:8888/udp/225.1.4.87:1116
湖北卫视,http://222.141.134.39:8888/udp/225.1.4.89:1118
深圳卫视,http://222.141.134.39:8888/udp/225.1.4.90:1119
黑龙江卫视,http://222.141.134.39:8888/udp/225.1.4.91:1120
厦门卫视,http://222.141.134.39:8888/udp/225.1.4.95:1124
兵团卫视,http://222.141.134.39:8888/udp/225.1.4.97:1126
贵州卫视,http://222.141.134.39:8888/udp/225.1.4.122:1302
河北卫视,http://222.141.134.39:8888/udp/225.1.4.123:1304
江西卫视,http://222.141.134.39:8888/udp/225.1.4.139:1305
四川卫视,http://222.141.134.39:8888/udp/225.1.4.151:1306
云南卫视,http://222.141.134.39:8888/udp/225.1.4.152:1307
重庆卫视,http://222.141.134.39:8888/udp/225.1.4.157:1308
山东教育,http://222.141.134.39:8888/udp/225.1.4.164:1205
广东卫视,http://222.141.134.39:8888/udp/225.1.4.166:1207
辽宁卫视,http://222.141.134.39:8888/udp/225.1.4.167:1208
吉林卫视,http://222.141.134.39:8888/udp/225.1.4.174:1309
海南卫视,http://222.141.134.39:8888/udp/225.1.4.195:1310
东南卫视,http://222.141.134.39:8888/udp/225.1.4.228:1274
三沙卫视,http://222.141.134.39:8888/udp/225.1.4.234:1280
CHC高清电影,http://222.141.134.39:8888/udp/225.1.4.207:1260
CHC动作电影,http://222.141.134.39:8888/udp/225.1.4.208:1261
CHC家庭影院,http://222.141.134.39:8888/udp/225.1.4.209:1262
卡酷少儿,http://222.141.134.39:8888/udp/225.1.4.48:1077
