湖北电信[A],#genre#
文物宝库,http://speedtest.xk8.top:8001/udp/239.69.1.46:9916
书画,http://speedtest.xk8.top:8001/udp/239.69.1.189:10776
茶HD,http://speedtest.xk8.top:8001/udp/239.69.1.144:10500
女性时尚,http://speedtest.xk8.top:8001/udp/239.69.1.86:10156
风云音乐,http://speedtest.xk8.top:8001/udp/239.69.1.90:10180
老故事,http://speedtest.xk8.top:8001/udp/239.69.1.85:10150
凤凰中文,http://speedtest.xk8.top:8001/udp/239.69.2.20:11274
凤凰资讯,http://speedtest.xk8.top:8001/udp/239.69.2.19:11268
ITV导视HD,http://speedtest.xk8.top:8001/udp/239.69.1.65:10030
九屏导视HD,http://speedtest.xk8.top:8001/udp/239.69.1.156:10572
芒果1,http://speedtest.xk8.top:8001/udp/239.69.1.12:9712
芒果2,http://speedtest.xk8.top:8001/udp/239.69.1.13:9718
测试频道1HD,http://speedtest.xk8.top:8001/udp/239.69.1.177:10698





湖北电信[B],#genre#
CCTV1,http://27.18.35.149:6868/udp/239.254.97.96:8550
CCTV2,http://27.18.35.149:6868/udp/239.69.1.102:10250
CCTV3,http://27.18.35.149:6868/udp/239.69.1.122:10370
CCTV4,http://27.18.35.149:6868/udp/239.69.1.138:10466
CCTV5,http://27.18.35.149:6868/udp/239.69.1.123:10376
CCTV6,http://27.18.35.149:6868/udp/239.69.1.124:10382
CCTV7,http://27.18.35.149:6868/udp/239.69.1.103:10256
CCTV8,http://27.18.35.149:6868/udp/239.69.1.125:10388
CCTV9,http://27.18.35.149:6868/udp/239.69.1.104:10262
CCTV10,http://27.18.35.149:6868/udp/239.69.1.105:10268
CCTV11,http://27.18.35.149:6868/udp/239.69.1.154:10560
CCTV12,http://27.18.35.149:6868/udp/239.69.1.106:10274
CCTV13,http://27.18.35.149:6868/udp/239.254.97.161:9040
CCTV14,http://27.18.35.149:6868/udp/239.69.1.107:10280
CCTV15,http://27.18.35.149:6868/udp/239.69.1.155:10566
CCTV16,http://27.18.35.149:6868/udp/239.69.1.247:11124
CCTV17,http://27.18.35.149:6868/udp/239.69.1.152:10548
CCTV5,http://27.18.35.149:6868/udp/239.254.97.234:9484
CCTV4K,http://27.18.35.149:6868/udp/239.69.1.111:10304
CCTV16,http://27.18.35.149:6868/udp/239.69.1.249:11136
CCTV4,http://27.18.35.149:6868/udp/239.69.1.231:11028
CCTV4,http://27.18.35.149:6868/udp/239.69.1.232:11034
CGTN,http://27.18.35.149:6868/udp/239.69.1.233:11040
